Lname,Fname,Freq,Times,Rank,Regiment
ABBOTT,CHARLES HENRY,10657,Lance Corporal,0
ABBOTT,HENRY HARRY,60801,Corporal,0
ABLARD,HENRY CHARLES,7813,Sergeant,0
ABNETT,ALFRED,L/7748,Private,0
ABRAHAMSEN,JOHN,7825,Private,0
AERTS,LAURENT,3860,Private,0
ALCHORN,FENTON JAMES,672,Private,0
ALEK,MIKE,27991,Private,0
ALEXANDER,DAVID ARTHUR HENRY,1400,Private,0
ALEXANDER,JOHN,20657,Private,0
ALLAN,GUY,10653,Lance Serjeant,0
ALLARD,ALPHONSE,504,Quartermaster Sergeant,0
ALLEN,SYDNEY,746,Private,0
AMY,RAULIN,63057,Lance Corporal,0
ANDERSON,EMMANUEL JOHN,21557,Private,0
ANDERSON,WILLIAM,A/20823,Private,0
ANDREWS,FREDERICK CHARLES,,Second Lieutenant,0
ANDREWS,FREDERICK RUSSELL,51041,Private,0
ANDREWS,GORDON STEWART,,Lieutenant,0
ANDREWS,HECTOR GEORGE ROBERT FRANK,,Lieutenant,0
ANNETTS,THOMAS WILLIAM,7906,Corporal,0
ARNELL,JAMES ALEXANDER,A/34446,Private,0
ARWINE,MARION NEWTON,R4/124811,Private,0
ASBURY,ARTHUR GERARD,45044,Sapper,0
ASHER,HERBERT,6274,Private,0
ASHFORD,THOMAS,16105,Private,0
ASHTON,ROBERT JAMES,20765,Private,0
ATTREE,BENJAMIN RUPERT,L/ 8745,Private,0
AUBERTIN,OLIVIA,448007,Private,0
AUBIN,ALBERT LOUIS,1710,Private,0
AUGIN,JOSEPH,108069,Private,0
AYERS,WILLIAM BLANCHARD,428268,Private,0
BACKHURST,FREDERICK JOHN,1624,Private,0
BADLEY,SIDNEY,514,Private,0
BAIN,DAVID,A/2028,Private,0
BAIRD,WILLIAM,S/10164,Private,0
BAKER,ERNEST,6174,Private,0
BAKER,PERCY IRVINE,65040,Private,0
BALL,FREDERICK DRAPER,81037,Private,0
BANISTER,JOHN EDWIN,74123,Private,0
BANKS,JAMES ARTHUR,A/6358,Private,0
BANNON,JAMES CHARLES,79897,Private,0
BARAZINI,GEORGE,63147,Private,0
BARDWELL,MARCUS GEORGE,2755,Private,0
BARKER,WILLIAM SIDNEY,77500,Private,0
BARKEY,ALFRED (ANGELO),27448,Private,0
BARNES,WILLIAM ALFRED,A/1550,Private,0
BARNHARDT,FRED,A/2464,Private,0
BARONIAN,BAQHASAH (BALTHAZAR),19368,Private,0
BARRATT,GEORGE WILLIAM,63116,Private,0
BARRAU,AIME JEAN,74222,Private,0
BARRINGTON,ALBERT,27738,Private,0
BARTLE,ERIC LESLIE,7605,Private,0
BARTLETT,GORDON,3010,Corporal,0
BATTEN,JOSEPH RICHARD,8323,Private,0
BAYN (BOLAND),JOHN,72205,Private,0
BEATS,THOMAS,23021,Private,0
BEATTIE,THOMAS,6780,Private,0
BEATTY,FRANK,219433,Private,0
BEECROFT,PERCY,L/7665,Private,0
BEGG,WILLIAM,9157,Private,0
BELL,FREDERICK,77981,Private,0
BELLAMY,LEONARD,144/AM,Private,0
BELLIS,JOHN,Z/20,Private,0
BENFIELD,FRANCIS,9407,Lance Corporal,0
